Cód. Item;Espessura(mm);Largura(mm);Grupo de Item;Data da previsão ;Quantidade prevista
408;8;480;CONVERTER 8;jul/25;0
408;8;480;CONVERTER 8;ago/25;0,5
408;8;480;CONVERTER 8;set/25;0
408;8;480;CONVERTER 8;out/25;0,5
408;8;480;CONVERTER 8;nov/25;0,5
408;8;480;CONVERTER 8;dez/25;0,5
412;8;500;CONVERTER 8;jul/25;0,4
412;8;500;CONVERTER 8;ago/25;0,4
412;8;500;CONVERTER 8;set/25;0,4
412;8;500;CONVERTER 8;out/25;0,8
412;8;500;CONVERTER 8;nov/25;0,8
412;8;500;CONVERTER 8;dez/25;0,4
420;8;550;CONVERTER 8;jul/25;0
420;8;550;CONVERTER 8;ago/25;0,4
420;8;550;CONVERTER 8;set/25;0
420;8;550;CONVERTER 8;out/25;0,4
420;8;550;CONVERTER 8;nov/25;0
420;8;550;CONVERTER 8;dez/25;0,4
428;8;580;CONVERTER 8;jul/25;2
428;8;580;CONVERTER 8;ago/25;2
428;8;580;CONVERTER 8;set/25;2
428;8;580;CONVERTER 8;out/25;3
428;8;580;CONVERTER 8;nov/25;2,5
428;8;580;CONVERTER 8;dez/25;2
434;8;620;CONVERTER 8;jul/25;0,3
434;8;620;CONVERTER 8;ago/25;0
434;8;620;CONVERTER 8;set/25;0,3
434;8;620;CONVERTER 8;out/25;0,5
434;8;620;CONVERTER 8;nov/25;0,3
434;8;620;CONVERTER 8;dez/25;0
442;8;660;CONVERTER 8;jul/25;1,5
442;8;660;CONVERTER 8;ago/25;1,5
442;8;660;CONVERTER 8;set/25;1,5
442;8;660;CONVERTER 8;out/25;2
442;8;660;CONVERTER 8;nov/25;2
442;8;660;CONVERTER 8;dez/25;1,5
444;8;680;CONVERTER 8;jul/25;1
444;8;680;CONVERTER 8;ago/25;1
444;8;680;CONVERTER 8;set/25;1
444;8;680;CONVERTER 8;out/25;1,4
444;8;680;CONVERTER 8;nov/25;1,4
444;8;680;CONVERTER 8;dez/25;1
446;8;700;CONVERTER 8;jul/25;1
446;8;700;CONVERTER 8;ago/25;1
446;8;700;CONVERTER 8;set/25;1
446;8;700;CONVERTER 8;out/25;2
446;8;700;CONVERTER 8;nov/25;1,5
446;8;700;CONVERTER 8;dez/25;1
448;8;720;CONVERTER 8;jul/25;1,2
448;8;720;CONVERTER 8;ago/25;1,2
448;8;720;CONVERTER 8;set/25;1,2
448;8;720;CONVERTER 8;out/25;1,5
448;8;720;CONVERTER 8;nov/25;1,5
448;8;720;CONVERTER 8;dez/25;1,2
662;150;285;FINSTOCK 100-200;jul/25;0
662;150;285;FINSTOCK 100-200;ago/25;0
662;150;285;FINSTOCK 100-200;set/25;0
662;150;285;FINSTOCK 100-200;out/25;0
662;150;285;FINSTOCK 100-200;nov/25;0
662;150;285;FINSTOCK 100-200;dez/25;0
458;8;820;CONVERTER 8;jul/25;2,2
458;8;820;CONVERTER 8;ago/25;2,2
458;8;820;CONVERTER 8;set/25;2,2
458;8;820;CONVERTER 8;out/25;3
458;8;820;CONVERTER 8;nov/25;0
458;8;820;CONVERTER 8;dez/25;2,2
464;8;860;CONVERTER 8;jul/25;0
464;8;860;CONVERTER 8;ago/25;0,5
464;8;860;CONVERTER 8;set/25;0
464;8;860;CONVERTER 8;out/25;0
464;8;860;CONVERTER 8;nov/25;0
464;8;860;CONVERTER 8;dez/25;0
468;8;930;CONVERTER 8;jul/25;3,5
468;8;930;CONVERTER 8;ago/25;3,5
468;8;930;CONVERTER 8;set/25;4,5
468;8;930;CONVERTER 8;out/25;4,5
468;8;930;CONVERTER 8;nov/25;4,5
468;8;930;CONVERTER 8;dez/25;3,5
572;8;1060;CONVERTER 8;jul/25;0
572;8;1060;CONVERTER 8;ago/25;0
572;8;1060;CONVERTER 8;set/25;0
572;8;1060;CONVERTER 8;out/25;0
572;8;1060;CONVERTER 8;nov/25;0
572;8;1060;CONVERTER 8;dez/25;0
472;8;980;CONVERTER 8;jul/25;0
472;8;980;CONVERTER 8;ago/25;0
472;8;980;CONVERTER 8;set/25;0
472;8;980;CONVERTER 8;out/25;0
472;8;980;CONVERTER 8;nov/25;0
472;8;980;CONVERTER 8;dez/25;0
482;30;480;CONVERTER 30-40;jul/25;1
482;30;480;CONVERTER 30-40;ago/25;1
482;30;480;CONVERTER 30-40;set/25;1
482;30;480;CONVERTER 30-40;out/25;1,5
482;30;480;CONVERTER 30-40;nov/25;1,5
482;30;480;CONVERTER 30-40;dez/25;1
907;21;665;CONVERTER 20-25;jul/25;2,8
907;21;665;CONVERTER 20-25;ago/25;2,8
907;21;665;CONVERTER 20-25;set/25;0
907;21;665;CONVERTER 20-25;out/25;0
907;21;665;CONVERTER 20-25;nov/25;0
907;21;665;CONVERTER 20-25;dez/25;0
910;35;648;CONVERTER 30-40;jul/25;0
910;35;648;CONVERTER 30-40;ago/25;0
910;35;648;CONVERTER 30-40;set/25;0
910;35;648;CONVERTER 30-40;out/25;0
910;35;648;CONVERTER 30-40;nov/25;0
910;35;648;CONVERTER 30-40;dez/25;3,2
908;35;665;CONVERTER 30-40;jul/25;2,8
908;35;665;CONVERTER 30-40;ago/25;0
908;35;665;CONVERTER 30-40;set/25;0
908;35;665;CONVERTER 30-40;out/25;0
908;35;665;CONVERTER 30-40;nov/25;0
908;35;665;CONVERTER 30-40;dez/25;0
906;12;665;CONVERTER 12;jul/25;2,8
906;12;665;CONVERTER 12;ago/25;0
906;12;665;CONVERTER 12;set/25;0
906;12;665;CONVERTER 12;out/25;0
906;12;665;CONVERTER 12;nov/25;0
906;12;665;CONVERTER 12;dez/25;0
483;30;600;CONVERTER 30-40;jul/25;2,3
483;30;600;CONVERTER 30-40;ago/25;2,3
483;30;600;CONVERTER 30-40;set/25;2,3
483;30;600;CONVERTER 30-40;out/25;2,8
483;30;600;CONVERTER 30-40;nov/25;2,8
483;30;600;CONVERTER 30-40;dez/25;2,3
531;6,35;1200;CONVERTER 6,30-6,35;jul/25;2
531;6;1200;CONVERTER 6,30-6,35;ago/25;0
531;6;1200;CONVERTER 6,30-6,35;set/25;2
531;6;1200;CONVERTER 6,30-6,35;out/25;1
531;6;1200;CONVERTER 6,30-6,35;nov/25;2
531;6;1200;CONVERTER 6,30-6,35;dez/25;0
518;6,35;810;CONVERTER 6,30-6,35;jul/25;0,5
518;6;810;CONVERTER 6,30-6,35;ago/25;0
518;6;810;CONVERTER 6,30-6,35;set/25;0,5
518;6;810;CONVERTER 6,30-6,35;out/25;1
518;6;810;CONVERTER 6,30-6,35;nov/25;0
518;6;810;CONVERTER 6,30-6,35;dez/25;0
519;6,35;850;CONVERTER 6,30-6,35;jul/25;0
519;6;850;CONVERTER 6,30-6,35;ago/25;0
519;6;850;CONVERTER 6,30-6,35;set/25;0
519;6;850;CONVERTER 6,30-6,35;out/25;0
519;6;850;CONVERTER 6,30-6,35;nov/25;0
519;6;850;CONVERTER 6,30-6,35;dez/25;0,5
532;6,35;450;CONVERTER 6,30-6,35;jul/25;1
532;6;450;CONVERTER 6,30-6,35;ago/25;1
532;6;450;CONVERTER 6,30-6,35;set/25;1
532;6;450;CONVERTER 6,30-6,35;out/25;1
532;6;450;CONVERTER 6,30-6,35;nov/25;1
532;6;450;CONVERTER 6,30-6,35;dez/25;1
546;9;450;HHF 9;jul/25;0
546;9;450;HHF 9;ago/25;0
546;9;450;HHF 9;set/25;0
546;9;450;HHF 9;out/25;0
546;9;450;HHF 9;nov/25;0
546;9;450;HHF 9;dez/25;0
655;100;275;FINSTOCK 100-200;jul/25;3
655;100;275;FINSTOCK 100-200;ago/25;3
655;100;275;FINSTOCK 100-200;set/25;3
655;100;275;FINSTOCK 100-200;out/25;3
655;100;275;FINSTOCK 100-200;nov/25;0
655;100;275;FINSTOCK 100-200;dez/25;3
656;127;350;FINSTOCK 100-200;jul/25;8
656;127;350;FINSTOCK 100-200;ago/25;8
656;127;350;FINSTOCK 100-200;set/25;8
656;127;350;FINSTOCK 100-200;out/25;8
656;127;350;FINSTOCK 100-200;nov/25;8
656;127;350;FINSTOCK 100-200;dez/25;8
880;127;1000;FINSTOCK GOLD 100-200;jul/25;0
880;127;1000;FINSTOCK GOLD 100-200;ago/25;1
880;127;1000;FINSTOCK GOLD 100-200;set/25;0
880;127;1000;FINSTOCK GOLD 100-200;out/25;1
880;127;1000;FINSTOCK GOLD 100-200;nov/25;0
880;127;1000;FINSTOCK GOLD 100-200;dez/25;1
676;127;350G;FINSTOCK GOLD 100-200;jul/25;0
676;127;350G;FINSTOCK GOLD 100-200;ago/25;0
676;127;350G;FINSTOCK GOLD 100-200;set/25;0
676;127;350G;FINSTOCK GOLD 100-200;out/25;0
676;127;350G;FINSTOCK GOLD 100-200;nov/25;0
676;127;350G;FINSTOCK GOLD 100-200;dez/25;0
702;6,35;880;CONVERTER 6,30-6,35;jul/25;0
702;6;880;CONVERTER 6,30-6,35;ago/25;0
702;6;880;CONVERTER 6,30-6,35;set/25;0
702;6;880;CONVERTER 6,30-6,35;out/25;0
702;6;880;CONVERTER 6,30-6,35;nov/25;0
702;6;880;CONVERTER 6,30-6,35;dez/25;0
898;75;392,5;TRANSPORTATION <0,2;jul/25;0
898;75;393;TRANSPORTATION <0,2;ago/25;0
898;75;393;TRANSPORTATION <0,2;set/25;0
898;75;393;TRANSPORTATION <0,2;out/25;0
898;75;393;TRANSPORTATION <0,2;nov/25;0
898;75;393;TRANSPORTATION <0,2;dez/25;0
714;8;1020;CONVERTER 8;jul/25;0
714;8;1020;CONVERTER 8;ago/25;0
714;8;1020;CONVERTER 8;set/25;0
714;8;1020;CONVERTER 8;out/25;0
714;8;1020;CONVERTER 8;nov/25;0
714;8;1020;CONVERTER 8;dez/25;0
751;100;125;FINSTOCK 100-200;jul/25;0
751;100;125;FINSTOCK 100-200;ago/25;0
751;100;125;FINSTOCK 100-200;set/25;0
