Cód. Item;Descrição;Espessura(mm);Largura(mm);Grupo de Item
1;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG420 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;420;INATIVOS CONVERTER 8
2;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG450 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;450;INATIVOS CONVERTER 8
3;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG480 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;480;INATIVOS CONVERTER 8
4;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG510 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;510;INATIVOS CONVERTER 8
5;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG550 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;550;INATIVOS CONVERTER 8
6;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG560 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;560;INATIVOS CONVERTER 8
7;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG580 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;580;INATIVOS CONVERTER 8
8;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG620 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;620;INATIVOS CONVERTER 8
9;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG650 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;650;INATIVOS CONVERTER 8
10;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG670 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;670;INATIVOS CONVERTER 8
11;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG680 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;680;INATIVOS CONVERTER 8
12;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG710 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;710;INATIVOS CONVERTER 8
13;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG720 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;720;INATIVOS CONVERTER 8
14;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG740 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;740;INATIVOS CONVERTER 8
15;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG760 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;760;INATIVOS CONVERTER 8
16;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG810 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;810;INATIVOS CONVERTER 8
17;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG820 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;820;INATIVOS CONVERTER 8
18;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG830 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;830;INATIVOS CONVERTER 8
19;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG850 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;850;INATIVOS CONVERTER 8
20;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG950 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;950;INATIVOS CONVERTER 8
21;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG1020 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;1020;INATIVOS CONVERTER 8
22;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,026 LARG456 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 26;26;456;FOODCONTAINER 26
23;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,028 LARG427 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 28;28;427;FOODCONTAINER 28
24;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,028 LARG768 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 28;28;768;FOODCONTAINER 28
25;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,028 LARG925 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 28;28;925;FOODCONTAINER 28
26;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,030 LARG442 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 30;30;442;FOODCONTAINER 30
27;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,030 LARG577 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 30;30;577;FOODCONTAINER 30
28;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,030 LARG889 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 30;30;889;FOODCONTAINER 30
29;ALUMINIO-FOLHA BOB-3003H24 ESP0,040 LARG245 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;40;245;FOODCONTAINER 40-55
30;ALUMINIO-FOLHA BOB-3003H24 ESP0,040 LARG295 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;40;295;FOODCONTAINER 40-55
31;ALUMINIO-FOLHA BOB-3003H24 ESP0,040 LARG322 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;40;322;FOODCONTAINER 40-55
32;ALUMINIO-FOLHA BOB-3003H24 ESP0,045 LARG280 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;45;280;FOODCONTAINER 40-55
33;ALUMINIO-FOLHA BOB-3003H24 ESP0,045 LARG315 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;45;315;FOODCONTAINER 40-55
34;ALUMINIO-FOLHA BOB-3003H24 ESP0,048 LARG205 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;48;205;FOODCONTAINER 40-55
35;ALUMINIO-FOLHA BOB-3003H24 ESP0,048 LARG335 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;48;335;FOODCONTAINER 40-55
36;ALUMINIO-FOLHA BOB-3003H24 ESP0,048 LARG364 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;48;364;FOODCONTAINER 40-55
37;ALUMINIO-FOLHA BOB-3003H24 ESP0,050 LARG220 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;50;220;FOODCONTAINER 40-55
38;ALUMINIO-FOLHA BOB-3003H24 ESP0,050 LARG265 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;50;265;FOODCONTAINER 40-55
39;ALUMINIO-FOLHA BOB-3003H24 ESP0,050 LARG335 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;50;335;FOODCONTAINER 40-55
40;ALUMINIO-FOLHA BOB-3003H24 ESP0,052 LARG265 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;52;265;FOODCONTAINER 40-55
